1	wir	`anachnu	אנכנו	m.Pl.; f.Pl.	ז"ר; נ"ר
1	ich 	`ani	אני	m.Sg.; f.Sg.	ז'; נ'
1	du	`at	את	f.Sg.	נ'
1	du	`ata	אתה	m.Sg.	ז'
1	ihr	`atem	אתם	m.Pl.	ז"ר
1	ihr	`aten	אתן	f.Pl.	נ"ר
1	auch 	gam	גם		
1	er	hu	הוא	m.Sg.	ז'
1	sie	hi	היא	f.Sg.	נ'
1	hallo	hei	היי		
1	sie	hem	הם	m.Pl.	ז"ר
1	sie	hen	הן	f.Pl.	נ"ר
1	und	we…	ו…		
1	das ist	sot	זאת	f.Sg.	נ'
1	das ist	se	זה	m.Sg.	ז'
1	Techniker	technaj	טכנאי	m.Sg.	ז'
1	Technikerin	techna`it	טכנאית	f.Sg.	נ'
1	Techniker	techna`im	טכנאים	m.Pl.	ז"ר
1	Technikerinnen	techna`ijot	טכנאיות	f.Pl.	נ"ר
1	ja	ken	כן		
1	zu	le…	ל…		
1	nein; nicht	lo	לא		
1	aus	mi…	מ…		
1	sehr	me`od	מאוד		
1	Lehrer	more	מורה	m.Sg.	ז'
1	Lehrerin	mora	מורה	f.Sg.	נ'
1	Lehrer	morim	מורים	m.Pl.	ז"ר
1	Lehrerinnen	morot	מורות	f.Pl.	נ"ר
1	wer	mi	מי		
1	angenehm	na`im	נעים	m.Sg.	ז'
1	angenehm	ne`ima	נעימה	f.Sg.	נ'
1	angenehm	ne`imim	נעימים	m.Pl.	ז"ר
1	angenehm	ne`imot	נעימות	f.Pl.	נ"ר
1	sehr angenehm	na`im me`od	נעים מאוד		
1	Student	ßtudent	סטודנט	m.Sg.	ז'
1	Studentin	ßtudentit	סטודנטית	f.Sg.	נ'
1	Studenten	ßtudentim	סטודנטים	m.Pl.	ז"ר
1	Studentinnen	ßtudentijot	סטודנטיות	f.Pl.	נ"ר
1	Hebräisch	´iwrit	עברית		
1	Büroangestellter	pakid	פקיד	m.Sg.	ז'
1	Büroangestellte	pkida	פקידה	f.Sg.	נ'
1	Büroangestellte	pkidim	פקידים	m.Pl.	ז"ר
1	Büroangestellte	pkidot	פקידות	f.Pl.	נ"ר
1	Frieden; Guten Tag	schalom	שלום		
1	Schüler	talmid	תלמיד	m.Sg.	ז'
1	Schülerin	talmida	תלמידה	f.Sg.	נ'
1	Schüler	talmidim	תלמידים	m.Pl.	ז"ר
1	Schülerinnen	talmidot	תלמידות	f.Pl.	נ"ר
